month,number_of_vessels,gross_tonnage
2023-01-01,10710.936995775308,264736.625
2023-02-01,10623.296922456495,264736.625
2023-03-01,10996.350684096335,264736.625
2023-04-01,11132.746943650183,264736.625
2023-05-01,11337.630719750216,264736.625
2023-06-01,10798.998054751864,264736.625
2023-07-01,10583.382433622106,264736.625
2023-08-01,10479.593434316876,264736.625
2023-09-30,10982.238969,264736.625
2023-10-31,10998.687946,264736.625
2023-11-30,10855.306755,264736.625
2023-12-31,10762.520377,264736.625
2024-01-31,10854.839849,264736.625
2024-02-29,10940.500580,264736.625
2024-03-31,10913.100140,264736.625
2024-04-30,10837.443647,264736.625
2024-05-31,10851.665374,264736.625
2024-06-30,10674.876123,264736.625
2024-07-31,10673.745523,264736.625
2024-08-31,10738.670435,264736.625
2024-09-30,10861.547496,264736.625
2024-10-31,10675.812947,264736.625
2024-11-30,10712.506538,264736.625
2024-12-31,10869.507753,264736.625
2025-01-31,10939.911250,264736.625
2025-02-28,10626.543438,264736.625
2025-03-31,10602.469586,264736.625
2025-04-30,10564.212878,264736.625
2025-05-31,10845.938536,264736.625
2025-06-30,11010.408641,264736.625
2025-07-31,11197.189983,264736.625
2025-08-31,10916.521758,264736.625
2025-09-30,10557.624966,264736.625
2025-10-31,10683.085558,264736.625
2025-11-30,10604.028815,264736.625
2025-12-31,10792.804364,264736.625
2026-01-31,10892.058085,264736.625
2026-02-28,10892.596038,264736.625
2026-03-31,11008.938996,264736.625
2026-04-30,10891.933956,264736.625
2026-05-31,10959.881212,264736.625
2026-06-30,10642.559160,264736.625
2026-07-31,10929.702129,264736.625
2026-08-31,10821.821159,264736.625
2026-09-30,10829.623908,264736.625
2026-10-31,10803.636005,264736.625
2026-11-30,10739.900199,264736.625
2026-12-31,10460.275629,264736.625
2027-01-31,10319.839833,264736.625
2027-02-28,10885.335366,264736.625
2027-03-31,11279.168143,264736.625
2027-04-30,11422.448798,264736.625
2027-05-31,11317.841486,264736.625
2027-06-30,10639.441493,264736.625
2027-07-31,10623.074993,264736.625
2027-08-31,10458.943841,264736.625
2027-09-30,10958.557943,264736.625
2027-10-31,10982.128237,264736.625
2027-11-30,11063.714069,264736.625
2027-12-31,10920.632464,264736.625
