month,number_of_vessels,gross_tonnage
1995-01-01,8876.0,58978.63
1995-02-01,7593.0,53786.76
1995-03-01,8610.0,58440.76
1995-04-01,8483.0,59351.66
1995-05-01,8749.0,61696.06
1995-06-01,8507.0,55360.23
1995-07-01,8669.0,61310.53
1995-08-01,8498.0,60099.24
1995-09-01,8582.0,58360.88
1995-10-01,9140.0,60323.65
1995-11-01,8788.0,58842.38
1995-12-01,9519.0,64021.76
1996-01-01,9592.0,62435.31
1996-02-01,8687.0,61216.38
1996-03-01,9971.0,67916.82
1996-04-01,9633.0,63416.76
1996-05-01,9836.0,65486.31
1996-06-01,9635.0,63610.22
1996-07-01,10046.0,64756.1
1996-08-01,9888.0,64188.05
1996-09-01,9840.0,63964.23
1996-10-01,10218.0,63443.46
1996-11-01,10083.0,63469.45
1996-12-01,10294.0,64617.48
1997-01-01,10726.0,66987.03
1997-02-01,8945.0,58575.94
1997-03-01,10605.0,64322.54
1997-04-01,10332.0,66139.2
1997-05-01,10861.0,68990.93
1997-06-01,10730.0,66250.85
1997-07-01,11334.0,70501.76
1997-08-01,11169.0,69369.87
1997-09-01,11317.0,66701.84
1997-10-01,11481.0,72514.76
1997-11-01,11075.0,65783.73
1997-12-01,11758.0,72166.34
1998-01-01,11479.0,75372.0
1998-02-01,10631.0,67629.0
1998-03-01,11640.0,70675.0
1998-04-01,11095.0,67126.0
1998-05-01,11909.0,72884.0
1998-06-01,11702.0,70458.0
1998-07-01,11915.0,73530.0
1998-08-01,12030.0,71495.0
1998-09-01,11904.0,70952.0
1998-10-01,12078.0,73017.0
1998-11-01,12088.0,69784.0
1998-12-01,12451.0,74733.0
1999-01-01,12227.0,77270.0
1999-02-01,10743.0,65346.0
1999-03-01,12393.0,75934.0
1999-04-01,11822.0,73570.0
1999-05-01,12033.0,75977.0
1999-06-01,11750.0,71145.0
1999-07-01,12341.0,73503.0
1999-08-01,12059.0,72860.0
1999-09-01,11639.0,72681.0
1999-10-01,11776.0,75110.0
1999-11-01,11176.0,70150.0
1999-12-01,11564.0,73581.0
2000-01-01,11433.0,76261.0
2000-02-01,10894.0,69437.0
2000-03-01,12297.0,73167.0
2000-04-01,12004.0,76678.0
2000-05-01,12394.0,78392.0
2000-06-01,12425.0,74873.0
2000-07-01,12612.0,78893.0
2000-08-01,12363.0,76848.0
2000-09-01,11934.0,75658.0
2000-10-01,12511.0,80766.0
2000-11-01,12107.0,73453.0
2000-12-01,12409.0,75754.0
2001-01-01,12186.0,79224.0
2001-02-01,11131.0,67571.0
2001-03-01,12574.0,78792.0
2001-04-01,11862.0,76961.0
2001-05-01,12561.0,79461.0
2001-06-01,12048.0,78941.0
2001-07-01,12912.0,81576.0
2001-08-01,12696.0,82116.0
2001-09-01,12055.0,81410.0
2001-10-01,12454.0,86959.0
2001-11-01,11871.0,82403.0
2001-12-01,11915.0,84679.0
2002-01-01,11910.0,80725.0
2002-02-01,10512.0,72197.0
2002-03-01,12115.0,83814.0
2002-04-01,11631.0,83301.68
2002-05-01,12089.0,83278.31
2002-06-01,11719.0,80569.54
2002-07-01,12458.0,84008.85
2002-08-01,12178.0,80024.85
2002-09-01,11878.0,77540.36
2002-10-01,12369.0,82294.82
2002-11-01,11976.0,81265.35
2002-12-01,11911.0,82725.59
2003-01-01,12072.0,84330.0
2003-02-01,10478.0,76666.0
2003-03-01,11860.0,86087.0
2003-04-01,11108.0,82549.02
2003-05-01,10837.0,81544.12
2003-06-01,10755.0,82240.69
2003-07-01,11317.0,82114.75
2003-08-01,11284.0,84578.22
2003-09-01,11098.0,81299.04
2003-10-01,11502.0,81053.1
2003-11-01,11342.0,80152.34
2003-12-01,11733.0,83777.65
2004-01-01,11448.0,85613.29
2004-02-01,10724.0,78549.91
2004-03-01,11882.0,87601.49
2004-04-01,10466.0,85315.19
2004-05-01,10975.0,86620.17
2004-06-01,10764.0,84301.33
2004-07-01,11287.0,88464.94
2004-08-01,11028.0,87568.46
2004-09-01,10933.0,89413.4
2004-10-01,10950.0,88375.68
2004-11-01,11018.0,90054.61
2004-12-01,11710.0,90568.74
2005-01-01,11744.0,94921.03
2005-02-01,10025.0,82601.5
2005-03-01,11345.0,94532.38
2005-04-01,11044.0,93755.58
2005-05-01,11260.0,96557.58
2005-06-01,10764.0,95610.46
2005-07-01,10826.0,96520.87
2005-08-01,10878.0,101965.58
2005-09-01,10498.0,95312.08
2005-10-01,10922.0,102079.07
2005-11-01,10263.0,97604.0
2005-12-01,10749.0,100331.32
2006-01-01,10536.0,106128.33
2006-02-01,9791.0,97913.96
2006-03-01,11200.0,109126.56
2006-04-01,10563.0,106111.17
2006-05-01,10952.0,113660.29
2006-06-01,10857.0,110807.87
2006-07-01,10858.0,109693.22
2006-08-01,10952.0,115588.86
2006-09-01,10955.0,110819.07
2006-10-01,10743.0,110674.99
2006-11-01,10661.0,110184.37
2006-12-01,10854.0,114281.22
2007-01-01,10918.0,116827.95
2007-02-01,9604.0,107251.46
2007-03-01,10501.0,121907.22
2007-04-01,10252.0,117951.49
2007-05-01,10631.0,120523.55
2007-06-01,10585.0,122170.12
2007-07-01,11070.0,125429.43
2007-08-01,11146.0,124276.18
2007-09-01,10986.0,126751.99
2007-10-01,11083.0,126948.79
2007-11-01,10783.0,122889.22
2007-12-01,11009.0,126293.74
2008-01-01,11058.0,133639.39
2008-02-01,10043.0,122405.61
2008-03-01,11123.0,138680.5
2008-04-01,11149.0,140166.47
2008-05-01,11429.0,139235.44
2008-06-01,10879.0,129099.08
2008-07-01,11378.0,135435.38
2008-08-01,11201.0,141463.89
2008-09-01,10760.0,134320.78
2008-10-01,10897.0,133279.74
2008-11-01,10741.0,134173.63
2008-12-01,11037.0,139165.37
2009-01-01,10560.0,143000.94
2009-02-01,9889.0,127943.95
2009-03-01,11056.0,152495.16
2009-04-01,10698.0,145084.1
2009-05-01,11187.0,159583.81
2009-06-01,11029.0,143912.07
2009-07-01,11438.0,154009.24
2009-08-01,11261.0,153545.04
2009-09-01,10799.0,150253.54
2009-10-01,11163.0,155931.84
2009-11-01,10502.0,146712.59
2009-12-01,10993.0,152196.93
2010-01-01,10993.0,154239.92
2010-02-01,9981.0,145449.61
2010-03-01,10997.0,158543.48
2010-04-01,10431.0,153625.92
2010-05-01,10706.0,160764.34
2010-06-01,10598.0,160281.3
2010-07-01,10891.0,166138.94
2010-08-01,10645.0,160403.83
2010-09-01,10200.0,160709.78
2010-10-01,10546.0,168713.95
2010-11-01,10307.0,163733.77
2010-12-01,11004.0,166803.18
2011-01-01,10937.0,177800.37
2011-02-01,9488.0,159536.01
2011-03-01,10994.0,181779.73
2011-04-01,10401.0,169981.39
2011-05-01,10680.0,177334.92
2011-06-01,10468.0,170444.01
2011-07-01,11148.0,177243.74
2011-08-01,10827.0,181694.36
2011-09-01,10432.0,171645.38
2011-10-01,11069.0,188048.6
2011-11-01,10519.0,176604.58
2011-12-01,11035.0,188169.26
2012-01-01,10743.0,189814.3
2012-02-01,10120.0,171077.22
2012-03-01,11050.0,191939.61
2012-04-01,10669.0,186794.73
