month,number_of_vessels,gross_tonnage
2023-01-01,10710.936995775308,264736.625
2023-02-01,10623.296922456495,264736.625
2023-03-01,10996.350684096335,264736.625
2023-04-01,11132.746943650183,264736.625
2023-05-01,11337.630719750216,264736.625
2023-06-01,10798.998054751864,264736.625
2023-07-01,10583.382433622106,264736.625
2023-08-01,10479.593434316876,264736.625
2023-09-30,10982.238969,264736.625
2023-10-31,10998.687946,264736.625
2023-11-30,10855.306755,264736.625
2023-12-31,10762.520377,264736.625
